query,ground_true,answer,query_quality,tbp_answer,tbp05,tbp08
你好，我19号已经把东西按要求退货了，20号说去拿，今天了还没有办理退款呢,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,3.0,什么是7天无理由退货？,什么是7天无理由退货？,
什么时候退款不要再忽悠了,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,2.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,什么是7天无理由退货？
那什么时候可以退款,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,2.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
5月21号就说退款到现在还没消息了,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
到现在退款都没到,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
其他的没啥了，到哪一天没退款我可以再找你们呢？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,3.0,发起售后申请后多久可以退款？,,发起售后申请后多久可以退款？
我再次申请可以，问题是啥时候能处理好？,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
怎样啦我那个1块退款,,,,发起售后申请后多久可以退款？,,发起售后申请后多久可以退款？
我已经申请退款了，怎么还没有到账？,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
我昨天提交了订单退款了怎么没有显示呢,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
我申请退款都48小时了,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
怎么不给我退款刚才我是买错了,发起售后申请后多久可以退款？,买错了，需要修改订单内容,3.0,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？,发起售后申请后多久可以退款？
请问我那玉米什么时候退款怎么退款,发起售后申请后多久可以退款？,,3.0,发起售后申请后多久可以退款？,可以拒签商品吗,发起售后申请后多久可以退款？
为什么还没有退货退款,发起售后申请后多久可以退款？,如何申请退款/退货？,3.0,后台显示待退货,,后台显示待退货
我定的牛肉酱啥时候会到,购买后多久可以收到产品？,,2.0,商家发货地是哪里？,商家发货地是哪里？,商家发货地是哪里？
我什么时候可以收到,购买后多久可以收到产品？,下单后多久可以收到？,2.0,购买后多久可以收到产品？,购买后多久可以收到产品？,质量问题
要多久才能到货啊,购买后多久可以收到产品？,下单后多久可以收到？,2.0,购买后多久可以收到产品？,质量问题,质量问题
多久呢,,,,购买后多久可以收到产品？,,
还要多久啊，我好饿好急用着呢/::<,购买后多久可以收到产品？,,3.0,购买后多久可以收到产品？,质量问题,
全部都烂掉了,坏果烂果,质量问题,2.0,坏果烂果,坏果烂果,商家拒绝退款/退货申请，怎么办？
烂果昨天已经拍给卖家了,坏果烂果,,2.0,坏果烂果,坏果烂果,
这个卖家发货过来的芒果都烂了,坏果烂果,坏果烂果,2.0,坏果烂果,商家拒绝退款/退货申请，怎么办？,坏果烂果
你好，我买的这个牛奶，全部坏了,坏果烂果,质量问题,2.0,坏果烂果,商家拒绝退款/退货申请，怎么办？,商家拒绝退款/退货申请，怎么办？
收到的芒果中间全烂了,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,商家拒绝退款/退货申请，怎么办？
总共收到三个芒果，两个大的都是烂的,坏果烂果,坏果烂果,2.0,坏果烂果,商家拒绝退款/退货申请，怎么办？,坏果烂果
买的芒果都烂掉了,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
水果48小时不坏了吗？,,,,坏果烂果,,坏果烂果
水果有坏的。商家客服没人处理,坏果烂果,坏果烂果,3.0,坏果烂果,,坏果烂果
这是一个看上去好的一个果，削皮后看到都损伤了，这个几天削的每一果都差不多。,坏果烂果,坏果烂果,3.0,坏果烂果,坏果烂果,坏果烂果
买的芒果都是坏的,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
没见过烂成这样的水果,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
发的都什么番茄啊 ，不能吃啊 你看一下评价，8成的人都发的坏的,坏果烂果,坏果烂果,3.0,坏果烂果,坏果烂果,坏果烂果
问一个，水果的坏果，赔付吗,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
买的货烂的太多咋办？,坏果烂果,收到商品破损/少件/错发,2.0,坏果烂果,坏果烂果,坏果烂果
总共收到4个果子，3个烂的,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
我这买的芒果都是烂的,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
怎么烂水果还能这么慢呀,坏果烂果,坏果烂果,3.0,坏果烂果,坏果烂果,坏果烂果
芒果寄来都是烂的,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
买的水果有烂果，客服没人处理,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
水果都烂了,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
亲我下单的水果到了，有一个坏了，想商家发图片结果一直发不出去,坏果烂果,收到商品破损/少件/错发,3.0,坏果烂果,坏果烂果,坏果烂果
我说水果坏了,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
两个果都是烂的,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
有烂果不给处理,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
收到芒果都烂了,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
你好有很多坏果,坏果烂果,,2.0,坏果烂果,坏果烂果,坏果烂果
买的香蕉都烂了,坏果烂果,坏果烂果,2.0,坏果烂果,坏果烂果,坏果烂果
这次买的芒果有三个摔坏的，联系商家没回信息，买之前说是坏果包赔,坏果烂果,收到商品破损/少件/错发,3.0,坏果烂果,坏果烂果,坏果烂果
12个苹果烂了5个。其他的几个还质量不好，这能吃吗？吃出问题了，你们负责吗？,坏果烂果,坏果烂果,3.0,坏果烂果,坏果烂果,坏果烂果
我买了三斤小洋葱，有三颗是坏的,坏果烂果,坏果烂果,3.0,坏果烂果,坏果烂果,坏果烂果
坏果昨天就扔了，拿出来时在流水放着长小虫子,坏果烂果,坏果烂果,3.0,坏果烂果,坏果烂果,坏果烂果
